address,degree,in_degree,out_degree,pagerank,core,hub,authority,betweenness,value_in,value_out,value_net
0x0bd9571f2e4a8cb9c9ef3290e2f7892a072e93a7,2,1,1,2.4462909647735355e-05,1,-2.0196704920508456e-29,4.381898010774735e-27,,0.014,0.006034,0.007966
0xe2f2cb9d8c1bdd17f58a3a91569bff14b00f0044,2,1,1,2.4462909647735355e-05,1,-2.00561246078367e-29,4.381898010774735e-27,,0.014,0.005992,0.008008000000000001
0x3f3b7d763bc520ba3fc861922fa9f65ad51130ef,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0xd654bdd32fc99471455e86c2e7f7d7b6437e9179,1,1,0,0.0003120888077449845,1,0.0,-1.4082754048456305e-22,,999.0,0.0,999.0
0xf51bc4633f5924465c8c6317169faf3e4312e82f,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0xc66ea802717bfb9833400264dd12c2bceaa34a6d,2,2,0,2.4458878797880242e-05,2,0.0,0.0,,0.0,0.0,0.0
0x23595334b4a25ad317d9529c5a35ca70819d836c,1,1,0,2.474679664467414e-05,1,0.0,3.6874138977732566e-25,,1.0,0.0,1.0
0xcd8b73c03ba077336c619751e18690bda5b26ff2,2,2,0,2.4470395511752e-05,2,0.0,7.023200661982793e-27,,0.04,0.0,0.04
0xa68f65bb1169359df1a7c66113c5b4e9a9bbb5d6,1,1,0,2.4477593457921842e-05,1,0.0,2.915149914272932e-26,,0.065,0.0,0.065
0x79ecdb8c66c6d9e6deb5ef361fb4c360a522f995,1,1,0,2.4476153868687872e-05,1,0.0,-8.833576017780073e-27,,0.06,0.0,0.06
0x83fb0973451090a83a3abca8ec5f30e9c889527e,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0x0e7100e836150589b2be7030523d23c86a2093b5,1,1,0,2.4473274690219936e-05,1,0.0,5.519842939984523e-27,,0.049999999999999996,0.0,0.049999999999999996
0x4023f93668b132e1903c6a4841721ff197ae7b03,1,1,0,2.4476153868687872e-05,1,0.0,-8.833576017780073e-27,,0.06,0.0,0.06
0xdfa42284475636ecc1e04f519b075ec7f1e04f48,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0xef71862273817c9e082ca2c92486c8dcdcd9356f,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0x13c1b06b5762da081e45f302b0d7696a7fa1f526,1,1,0,2.4467516333284056e-05,1,0.0,-4.4167880088900365e-27,,0.03,0.0,0.03
0xeb661d12171b066a4d0523dbe9d7ed309353eb60,1,1,0,2.4476153868687872e-05,1,0.0,-8.833576017780073e-27,,0.06,0.0,0.06
0xb887261e11d3d9cc3b96ef37ad220140c9c5404b,2,2,0,2.4458878797880242e-05,2,0.0,0.0,,0.0,0.0,0.0
0x3039d0a94d51c67a4f35e742b571874e53467804,2,2,0,2.4458878797880242e-05,2,0.0,0.0,,0.0,0.0,0.0
0xecf8f87f810ecf450940c9f60066b4a7a501d6a7,370,370,0,0.00702290798494387,2,0.0,-3.746815579657369e-21,,206139.09676233353,0.0,206139.09676233353
0x5a70db543902f4ccccf028b19d2142fde7eb0593,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2,2,0,4.116710665244527e-05,2,0.0,2.2977129055140944e-21,,1000.002,0.0,1000.002
0xd6da3c786d0c54c19dbc11c4bf018c5d6b9da9c3,1,1,0,2.446463715481612e-05,1,0.0,3.511600330991396e-27,,0.02,0.0,0.02
0x12191e219b41d144cc6f9a8396e07bf9cdb891fb,1,1,0,2.446895592251803e-05,1,0.0,2.706862840805237e-26,,0.034999999999999996,0.0,0.034999999999999996
0xb8df363e0dd784defa2c23ad281cad70e34b9895,1,1,0,2.446319756558215e-05,1,0.0,-2.2083940044450182e-27,,0.015,0.0,0.015
0x52e2a44945f28ee13ec7fcb9c44573f1de87f2f5,1,1,0,2.4464925072662913e-05,1,0.0,9.808683614379877e-27,,0.021,0.0,0.021
0xe6986f596621e44c460320d497278ec9fe0e5faa,1,0,1,2.4458878797880242e-05,1,-6.839483247753391e-25,0.0,,0.0,204.3375,-204.3375
0xbf4ed7b27f1d666546e30d74d50d173d20bca754,2,2,0,2.446175797634818e-05,2,0.0,1.755800165495698e-27,,0.01,0.0,0.01
0xb671c3883307cf05bb3dff77a9754e87b4347195,1,1,0,2.445974255142062e-05,1,0.0,1.976569770742136e-27,,0.003,0.0,0.003
0x32be343b94f860124dc4fee278fdcbd38c102d88,2,0,2,2.4458878797880242e-05,2,-7.855810493610543e-23,0.0,,0.0,2395.6000000000004,-2395.6000000000004
0xaa1a6e3e6ef20068f7f8d8c835d2d22fd5116444,2,2,0,0.0051121546458229635,2,0.0,7.065041679513767e-19,,304509.99000000005,0.0,304509.99000000005
0xab5801a7d398351b8be11c439e05c5b3259aec9b,4,2,2,0.01577577436317925,2,-1.472756263736435e-20,1.4104330301601864e-19,,131125.89028999998,368981.0,-237855.10971000002
0x2136bbba2edca21afdddee838fff19ea70d10f03,1,1,0,3.0217235733758203e-05,1,0.0,-1.7002725146955658e-24,,20.0,0.0,20.0
0xb375cfa627aa4d4ceffca59e46a2a3a13e5e9d69,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0xabad6ec946eff02b22e4050b3209da87380b3cbd,1,1,0,2.451934154570696e-05,1,0.0,4.650002088652392e-26,,0.21000000000000002,0.0,0.21000000000000002
0x66943100bf0464c1ec43b957a5f72fe2d67a3678,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0x890b0f3f7b2917f7d5859bc68e6c6eea1026ba90,1,1,0,2.4460318387114212e-05,1,0.0,8.77900082747849e-28,,0.005,0.0,0.005
0x47e25df8822538a8596b28c637896b4d143c351d,1,1,0,2.4473274690219936e-05,1,0.0,5.557157002826431e-27,,0.05,0.0,0.05
0xf5446e77728810d4fded1708b888ab6a4eb8075e,1,1,0,2.589846803184973e-05,1,0.0,-4.250681286738914e-25,,5.0,0.0,5.0
0xc8b976247a04025e24ff5f078b80a4cb42a579db,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0xfbe0678db305a280820d02194c94d450d0755883,3,1,2,2.6463797040144812e-05,2,-7.770487112697491e-25,2.4609473345641587e-22,,120.0,119.5,0.5
0x364d85d117b9908adf6a441dc12638bda963fc01,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0xdc7d570bb61a80e43eb250bbbb47754ae9e6449a,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0x5030e0c9a07b54c45b3ff3bb24c442f5075d6a7f,1,1,0,2.4476153868687872e-05,1,0.0,-8.833576017780073e-27,,0.06,0.0,0.06
0x6090a6e47849629b7245dfa1ca21d94cd15878ef,1,1,0,0.00011083423283604969,1,0.0,4.3759337084709324e-23,,300.0,0.0,300.0
0x9c67e141c0472115aa1b98bd0088418be68fd249,1,0,1,2.4458878797880242e-05,1,-1.3695006585338067e-25,0.0,,0.0,40.91542163,-40.91542163
0x0cfb686e114d478b055ce8614621f8bb62f70360,4,2,2,0.0003825643471227732,2,-4.054132941626255e-27,3.831916777446727e-20,,13236.11,0.1061,13236.0039
0xd94c9ff168dc6aebf9b6cc86deff54f3fb0afc33,1,0,1,2.4458878797880242e-05,1,-3.347150301708395e-24,0.0,,0.0,1000.0,-1000.0
0x27f706edde3ad952ef647dd67e24e38cd0803dd6,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,1,0,1,2.4458878797880242e-05,1,-5.020725452562592e-29,0.0,,0.0,0.015,-0.015
0xe659b84b23528f935ac669d23d834fcebf98b887,1,1,0,2.446175797634818e-05,1,0.0,1.755800165495698e-27,,0.01,0.0,0.01
0x6b7a32f06df45badd0408347416e661e1b0de750,1,1,0,2.503471449146804e-05,1,0.0,7.374827795546513e-25,,2.0,0.0,2.0
0xdd974d5c2e2928dea5f71b9825b8b646686bd200,2,2,0,2.4458878797880242e-05,2,0.0,0.0,,0.0,0.0,0.0
0x818e6fecd516ecc3849daf6845e3ec868087b755,2,2,0,2.4464804231336307e-05,2,0.0,5.674021870140715e-26,,0.03,0.0,0.03
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,7,7,0,0.0002787595854457087,5,0.0,4.992031053728604e-21,,1939.4901357224014,0.0,1939.4901357224014
0xa5c9ecf54790334b73e5dfa1ff5668eb425dc474,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0xf0ad5cad05e10572efceb849f6ff0c68f9700455,1,1,0,2.4468133606539806e-05,1,0.0,8.54570158204279e-27,,0.03214392147836982,0.0,0.03214392147836982
0xe692869347b9b18ef2deed19ae1bbace303b52b0,4,3,1,0.00023131583359716387,3,-2.4837413070577125e-23,5.0325954975265834e-20,,12332.2729,605.0,11727.2729
0x314159265dd8dbb310642f98f50c066173c1259b,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0x226159d592e2b063810a10ebf6dcbada94ed68b8,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0x9062c0a6dbd6108336bcbe4593a3d1ce05512069,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0x3379e1cdb6ef6515dbfaece748b69083ad28aa67,1,0,1,2.4458878797880242e-05,1,-6.69430060341679e-30,0.0,,0.0,0.002,-0.002
0xa7cba8eec7079345a5681d3d847da2da0b31dd42,1,0,1,2.4458878797880242e-05,1,-6.1247484843624445e-31,0.0,,0.0,0.000182983969415307,-0.000182983969415307
0x0056e5148741ba26729e7d2330a1fe8668929d7c,1,0,1,2.4458878797880242e-05,1,-6.69430060341679e-30,0.0,,0.0,0.002,-0.002
0x7b4a4ea6b348ab30485db514fbdd17d59539dc99,1,0,1,2.4458878797880242e-05,1,-3.347150301708395e-36,0.0,,0.0,1e-09,-1e-09
0x363fdb02aee6838afb0e034dc5ea54eb8e31e8b9,1,0,1,2.4458878797880242e-05,1,-4.7022441013550385e-33,0.0,,0.0,1.40485e-06,-1.40485e-06
0x3dda1d6ad867d28e76ed733dc1d357d249039310,1,0,1,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0x8d3caf6b8630038eec261646a53476402c8fc739,1,0,1,2.4458878797880242e-05,1,-3.347150301708394e-33,0.0,,0.0,1e-06,-1e-06
0xc5748c74b99e6948d8f5738e7e0a8da12e322099,1,0,1,2.4458878797880242e-05,1,-3.347150301708395e-30,0.0,,0.0,0.001,-0.001
0x392cf49ef5219a28cf3e5de4ac56214365a85af0,1,0,1,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0xce2b8fdfbfe3677a994cfbbe7924a748345fdef1,1,0,1,2.4458878797880242e-05,1,-3.347150301708395e-34,0.0,,0.0,1e-07,-1e-07
0x5e9c1e2d525ffd382a11ce706607a61ff3ced75f,1,0,1,2.4458878797880242e-05,1,-4.351295392220913e-30,0.0,,0.0,0.0013,-0.0013
0x08e240028a8b4106f802185a3eb9f39e39b56692,1,0,1,2.4458878797880242e-05,1,-1.6735751508541974e-30,0.0,,0.0,0.0005,-0.0005
0xb1e14bccad2f1f5a58fa789d80f8e4142d9f7eaf,2,2,0,0.0003628628973989501,2,0.0,1.2686664952320165e-20,,4021.7394850064566,0.0,4021.7394850064566
0x332777864cce8879efe2356de27946b643be38d0,3,0,3,2.4458878797880242e-05,3,-1.2475169309958412e-30,0.0,,0.0,0.000372710161942565,-0.000372710161942565
0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,3,3,0,2.4458878797880242e-05,3,0.0,0.0,,0.0,0.0,0.0
0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,4,4,0,2.4458878797880242e-05,4,0.0,0.0,,0.0,0.0,0.0
0x62700146f115fe08ca37be4a3a91935b28dfbc08,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
